"","country","y","EnergyUse","GDP","pop","co2percap","Lowcarbon_energy","internet","urb"
"3163","Ukraine",2008,33850.9943054624,13195.8768378635,46158709,7.0525,17.26,5080507,68.325
"3183","United Kingdom",2008,39099.8334118978,43670.4145844224,62145098,8.7617,8.072,48661550,80.757
"3193","United States",2008,87086.392737796,55271.6574674784,303486022,19.4872,13.232,224496810,80.438
"3253","Uzbekistan",2008,21205.1164840236,4185.55752534968,27626981,4.4536,2.206,2516629,49.989
"3293","Vietnam",2008,6558.48134415443,4628.02965340351,86243424,1.314,15.295,20740506,29.128
"3353","World",2008,21278.521020028,13635.7549664662,6789396380,4.7235,13.093,1558290574,50.6603094541688
"64","Algeria",2009,13417.1127664376,10782.3610927014,35333882,3.4014,0.2,3982805,66.826
"137","Argentina",2009,21693.8734500634,21519.8936160174,40482786,4.4204,15.402,13871798,90.691
"195","Australia",2009,68181.4791067551,44771.4842140369,21750852,18.4508,3.653,16141237,85.063
"215","Austria",2009,44172.4980873927,50957.6063796813,8372657,8.037,32.71,6147793,57.683
"224","Azerbaijan",2009,15516.352654108,13822.0911094279,8924383,3.5696,4.594,2445288,53.19
"256","Bangladesh",2009,2245.44034925661,2762.18047443876,145924795,0.3368,0.481,4664096,29.709
"276","Belarus",2009,32449.2972530614,16010.439955622,9433159,6.4713,0.098,2602075,74.172
"285","Belgium",2009,60436.2484586429,47063.8790649801,10859934,9.9183,19.391,7602203,97.603
"374","Brazil",2009,14423.2620423479,13962.2588783344,193886505,2.0103,46.025,76438210,84.044
"404","Bulgaria",2009,27349.7482699511,17229.8494817825,7473509,6.1303,24.755,3355214,71.963
"454","Canada",2009,90680.5188169282,44003.6170419636,33746093,16.1977,34.29,27133234,80.758
"574","Chile",2009,20333.0626978836,20298.2509246428,16886184,3.9026,20.457,6994316,87.017
"584","China",2009,20683.1818215676,8069.35463837756,1361169410,5.7939,7.185,390747678,47.88
"604","Colombia",2009,7979.43056940221,11395.5621370337,44750054,1.6214,30.024,13624854,77.587
"664","Croatia",2009,25668.6081584026,24548.7918388197,4341261,5.0236,18.668,2195720,54.987
"694","Cyprus",2009,26746.4824891242,38618.0093651325,1098089,7.7121,0.235,546952,67.695
"704","Czechia",2009,46924.0670270289,32782.6123492193,10488155,10.9875,17.074,6756674,73.324
"734","Denmark",2009,38718.7247132269,50114.0500523227,5526389,8.8333,12.123,4799167,86.654
"844","Ecuador",2009,9165.40613054517,10148.8659478336,14774412,2.2,17.949,3614054,62.495
"854","Egypt",2009,10600.6135307753,10031.0329555174,81134789,2.5041,4.533,16493004,43.039
"894","Estonia",2009,42437.6239382847,25390.753967296,1336140,10.8439,2.405,968477,68.223
"1054","Finland",2009,72900.3353405617,44662.100140396,5342266,10.4706,36.232,4407149,83.429
"1084","France",2009,45513.5158611425,41546.4905796298,62542883,5.8941,44.743,44871728,78.117
"1144","Germany",2009,44083.5283927961,44978.1198711897,80899961,9.7688,17.385,63962833,76.771
"1174","Greece",2009,30815.5597637062,35756.2455188034,10959268,9.5221,5.489,4852183,75.932
"1313","Hong Kong",2009,24508.6705082607,48459.9645781681,6924642,6.0046,0.001,4846391,100
"1324","Hungary",2009,28820.3227669329,24102.0136912384,9959439,5.168,17.782,6174544,68.46
"1344","Iceland",2009,196675.857883384,48770.9503367158,316057,11.7943,81.746,293960,93.511
"1394","India",2009,6334.00732652535,3956.35901634772,1217726217,1.3244,6.804,62170631,30.587
"1404","Indonesia",2009,9838.94794549006,7906.26195495465,238620554,1.6845,3.485,16562361,49.134
"1414","Iran",2009,32569.996357208,13199.0186871419,72924833,7.6658,0.766,10168884,70.045
"1424","Iraq",2009,13223.7124059349,8440.26240069173,28973157,3.5539,1.964,316883,68.98
"1434","Ireland",2009,36629.4425863352,53077.386996912,4494572,9.3847,6.027,3077962,61.342
"1454","Israel",2009,33423.1791452922,33568.5936626863,7190037,8.8819,0.1,4587495,91.763
"1464","Italy",2009,33377.1778812094,42074.9212455091,59105622,7.1861,9.94,29123117,68.209
"1484","Japan",2009,42781.0844724984,36080.5172267957,128555196,9.0484,17.73,100281994,89.989
"1504","Kazakhstan",2009,45872.0725470027,19614.7353205278,16043015,13.907,3.122,2945518,56.755
"1624","Latvia",2009,23909.2411012159,21540.0855594708,2144784,3.4764,21.569,1433925,67.814
"1734","Lithuania",2009,32224.780329291,23065.0619581523,3167270,4.1178,34.214,1893658,66.842
"1784","Luxembourg",2009,92478.5494683426,104598.831931338,496536,21.4251,1.479,433301,88.178
"1824","Malaysia",2009,30142.170860195,19442.9853496958,27735038,7.2368,2.406,15431409,70.075
"1924","Mexico",2009,18602.3793446903,17168.9773337976,112463886,4.2316,6.091,30424077,77.52
"2084","Morocco",2009,5930.84164542506,6129.11381821146,31929087,1.5929,4.441,13211827,57.452
"2144","Netherlands",2009,54918.0932322944,51607.6057272318,16626379,10.197,4.084,14902714,86.288
"2174","New Zealand",2009,47371.7584297866,37505.0482758471,4323338,8.0684,36.382,3445815,86.22
"2264","North Macedonia",2009,15824.6648912775,12987.1715790165,2069030,4.1527,10.732,1071169,57.117
"2314","Norway",2009,75410.2991472284,61689.5777152826,4826847,8.964,66.403,4444867,78.815
"2384","Pakistan",2009,5552.9892186673,3930.50817356197,175525610,0.8843,11.207,12528719,34.793
"2444","Peru",2009,6366.56909157726,9368.04546271701,28792663,1.7823,27.018,9106473,76.241
"2454","Philippines",2009,4805.65124407719,5606.59067690613,92414161,0.8277,16.108,8299879,45.371
"2464","Poland",2009,28685.6745961631,23064.9537007667,38351924,8.2614,2.75,22600176,61.004
"2484","Portugal",2009,26795.8302346643,31269.4104613004,10604066,5.3964,17.738,5145879,59.964
"2544","Romania",2009,19916.6784979413,21002.2761402342,20637995,3.9517,18.274,7546172,53.698
"2554","Russia",2009,52698.8615615598,22939.69405447,143326904,10.6676,11.868,41496902,73.642
"2724","Singapore",2009,49517.9381033621,69585.8448836232,4966614,18.1407,0.187,3426207,100
"2744","Slovakia",2009,36130.7601005197,24030.6118201304,5401149,6.9679,26.257,3780503,54.96
"2754","Slovenia",2009,40661.1494953348,33057.4147493548,2033807,7.9539,32.768,1302671,52.433
"2794","South Africa",2009,33169.8700588722,12262.1430334211,50477013,9.9503,2.667,5097082,61.687
"2834","South Korea",2009,54076.7755805949,32363.9686586535,49347450,10.9272,14.535,40293434,81.835
"2904","Spain",2009,32071.9511167388,37430.6785045715,46583566,6.3839,20.351,29001069,78.21
"2914","Sri Lanka",2009,5227.99370417922,8507.59291625497,20123508,0.6433,16.81,1762593,18.242
"2984","Sweden",2009,56791.6216933564,45492.768174936,9313085,5.0737,61.614,8475265,84.902
"2994","Switzerland",2009,40493.9485895289,64404.0798614014,7713902,5.6436,48.25,6290312,73.581
"3044","Thailand",2009,18732.2488926274,13458.5267079765,66866834,3.6232,2.836,13443255,42.543
"3094","Trinidad and Tobago",2009,165269.82420599,28103.2689912234,1320921,33.4769,0.027,585477,54.213
"3114","Turkey",2009,15946.2442793122,18731.5193829907,71321406,4.4217,8.424,25967463,70.241
"3124","Turkmenistan",2009,46174.4338794714,8015.80961742371,5007953,10.018,0.004,97655,48.172
"3164","Ukraine",2009,28924.2124883431,11298.3909564957,45970942,6.0319,18.835,8232930,68.502
"317","United Arab Emirates",2009,88066.5266045484,58374.6153336849,7917368,20.9034,0.002,4906492,83.742
"3184","United Kingdom",2009,36583.1612500234,41558.3008322127,62828620,7.861,10.702,52411010,81.031
"3194","United States",2009,82070.3938823801,53399.3656316179,306307565,17.8847,14.299,217314217,80.606
"3254","Uzbekistan",2009,18514.8562123209,4446.86360649926,28065469,3.7859,3.246,3350481,50.472
"3294","Vietnam",2009,7085.88165456742,4830.30506933291,87092250,1.4174,17.235,23248616,29.762
"3354","World",2009,20889.9206712097,13381.8072889881,6873077808,4.5987,13.356,1742929484,51.1632637216305
